contact_id,email,first_name,last_name,lifecycle_stage,original_source,created_at,merged_into_contact_id
HSCT00057,user57@example.com,User57,Last57,customer,PAID_SEARCH,2026-01-01T16:55:00Z,
HSCT00058,user58@example.com,User58,Last58,sql,PAID_SEARCH,2026-01-01T01:32:00Z,
HSCT00059,user59@example.com,User59,Last59,mql,PAID_SEARCH,2026-01-01T02:19:00Z,
HSCT00060,user60@example.com,User60,Last60,customer,PAID_SEARCH,2026-01-01T04:49:00Z,
HSCT00061,user61@example.com,User61,Last61,lead,PAID_SEARCH,2026-01-01T05:12:00Z,
HSCT00062,user62@example.com,User62,Last62,mql,PAID_SEARCH,2026-01-01T01:15:00Z,
HSCT00063,user63@example.com,User63,Last63,lead,PAID_SEARCH,2026-01-01T14:03:00Z,
HSCT00064,user64@example.com,User64,Last64,sql,PAID_SEARCH,2026-01-01T22:12:00Z,
HSCT00065,user65@example.com,User65,Last65,sql,PAID_SEARCH,2026-01-01T11:52:00Z,
HSCT00066,user66@example.com,User66,Last66,customer,PAID_SEARCH,2026-01-01T16:25:00Z,
HSCT00067,user67@example.com,User67,Last67,lead,PAID_SEARCH,2026-01-01T21:01:00Z,
HSCT00068,user68@example.com,User68,Last68,mql,PAID_SEARCH,2026-01-01T11:31:00Z,
HSCT00069,user69@example.com,User69,Last69,customer,PAID_SEARCH,2026-01-01T05:55:00Z,
HSCT00070,user70@example.com,User70,Last70,customer,PAID_SEARCH,2026-01-01T18:35:00Z,
HSCT00071,user71@example.com,User71,Last71,sql,PAID_SEARCH,2026-01-01T11:10:00Z,
HSCT00072,user72@example.com,User72,Last72,sql,PAID_SEARCH,2026-01-01T23:53:00Z,
HSCT00073,user73@example.com,User73,Last73,lead,PAID_SEARCH,2026-01-01T09:01:00Z,
HSCT00074,user74@example.com,User74,Last74,customer,PAID_SEARCH,2026-01-01T01:10:00Z,
HSCT00075,user75@example.com,User75,Last75,mql,PAID_SEARCH,2026-01-01T07:41:00Z,
HSCT00076,user76@example.com,User76,Last76,mql,PAID_SEARCH,2026-01-01T21:13:00Z,
HSCT00077,user77@example.com,User77,Last77,sql,PAID_SEARCH,2026-01-01T20:26:00Z,
HSCT00078,user78@example.com,User78,Last78,lead,PAID_SEARCH,2026-01-01T21:00:00Z,
HSCT00079,user79@example.com,User79,Last79,customer,PAID_SEARCH,2026-01-01T04:41:00Z,
HSCT00080,user80@example.com,User80,Last80,mql,PAID_SEARCH,2026-01-01T19:51:00Z,
HSCT00081,user81@example.com,User81,Last81,lead,PAID_SEARCH,2026-01-01T07:16:00Z,
HSCT00082,user82@example.com,User82,Last82,sql,PAID_SEARCH,2026-01-01T22:45:00Z,
HSCT00083,user83@example.com,User83,Last83,sql,PAID_SEARCH,2026-01-01T13:57:00Z,
HSCT00084,user84@example.com,User84,Last84,customer,PAID_SEARCH,2026-01-01T11:29:00Z,
HSCT00085,user85@example.com,User85,Last85,sql,PAID_SEARCH,2026-01-01T06:29:00Z,
HSCT00086,user86@example.com,User86,Last86,sql,PAID_SEARCH,2026-01-01T21:33:00Z,
HSCT00087,user87@example.com,User87,Last87,customer,PAID_SEARCH,2026-01-01T18:06:00Z,
HSCT00088,user88@example.com,User88,Last88,lead,PAID_SEARCH,2026-01-01T16:42:00Z,
HSCT00089,user89@example.com,User89,Last89,sql,PAID_SEARCH,2026-01-01T17:41:00Z,
HSCT00090,user90@example.com,User90,Last90,sql,PAID_SEARCH,2026-01-01T09:43:00Z,
HSCT00091,user91@example.com,User91,Last91,lead,PAID_SEARCH,2026-01-01T15:04:00Z,
HSCT00092,user92@example.com,User92,Last92,sql,PAID_SEARCH,2026-01-01T08:40:00Z,
HSCT00093,user93@example.com,User93,Last93,sql,PAID_SEARCH,2026-01-01T08:16:00Z,
HSCT00094,user94@example.com,User94,Last94,sql,PAID_SEARCH,2026-01-01T06:09:00Z,
HSCT00095,user95@example.com,User95,Last95,mql,PAID_SEARCH,2026-01-01T01:51:00Z,
HSCT00096,user96@example.com,User96,Last96,customer,PAID_SEARCH,2026-01-01T21:20:00Z,
HSCT00097,user97@example.com,User97,Last97,mql,PAID_SEARCH,2026-01-01T23:01:00Z,
HSCT00098,user98@example.com,User98,Last98,customer,PAID_SEARCH,2026-01-01T09:16:00Z,
HSCT00099,user99@example.com,User99,Last99,customer,PAID_SEARCH,2026-01-01T12:24:00Z,
HSCT00100,user100@example.com,User100,Last100,lead,PAID_SEARCH,2026-01-01T18:45:00Z,
HSCT00101,user1@example.com,User1,Last1,lead,PAID_SEARCH,2026-01-01T18:52:00Z,HSCT00001
